epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,312.916,1.61847,2.48251,1.51015,0.71975,0.22362,0.32479,0.16602,1.6473,2.81766,1.47045,0.000656716,0.000656716,0.000656716
2,665.878,1.57635,1.98586,1.45767,0.41339,0.34828,0.32186,0.15562,1.81828,2.69658,1.71964,0.00129718,0.00129718,0.00129718
3,1030.33,1.65319,2.03701,1.54507,0.39076,0.36675,0.32174,0.16421,1.75375,2.60013,1.74808,0.00191124,0.00191124,0.00191124
4,1373.29,1.64966,1.93161,1.51575,0.38322,0.38259,0.34994,0.16244,1.7483,2.43652,1.72766,0.0018812,0.0018812,0.0018812
5,1746.61,1.56619,1.72391,1.46812,0.58253,0.44063,0.48891,0.24335,1.72127,1.98899,1.59214,0.0018416,0.0018416,0.0018416
6,2014.61,1.58784,1.71102,1.47464,0.55551,0.44517,0.49616,0.25793,1.58782,1.8716,1.48717,0.001802,0.001802,0.001802
7,2408.09,1.51913,1.62677,1.45233,0.53402,0.55145,0.56335,0.30463,1.61376,1.74845,1.49735,0.0017624,0.0017624,0.0017624
8,2838.94,1.53618,1.53546,1.44857,0.56422,0.55409,0.54325,0.28219,1.62998,1.77298,1.55771,0.0017228,0.0017228,0.0017228
9,3240.98,1.49207,1.55843,1.42697,0.57092,0.58575,0.60464,0.33482,1.5122,1.68482,1.41649,0.0016832,0.0016832,0.0016832
10,3646.99,1.43175,1.43646,1.40041,0.6072,0.50983,0.54429,0.27893,1.59034,1.81509,1.53223,0.0016436,0.0016436,0.0016436
11,4076.8,1.43325,1.40596,1.39282,0.59389,0.6095,0.62181,0.35803,1.4441,1.54554,1.37603,0.001604,0.001604,0.001604
12,4419.51,1.44807,1.41416,1.39304,0.6162,0.61214,0.64416,0.36606,1.54698,1.51865,1.40957,0.0015644,0.0015644,0.0015644
13,4613.2,1.38857,1.34727,1.35649,0.72225,0.5832,0.66002,0.377,1.49686,1.46549,1.38809,0.0015248,0.0015248,0.0015248
14,4818.11,1.39749,1.3646,1.34998,0.70591,0.63061,0.69815,0.40207,1.43542,1.35495,1.34507,0.0014852,0.0014852,0.0014852
15,5006.59,1.39588,1.30046,1.34804,0.65008,0.64908,0.69115,0.3923,1.46605,1.40312,1.36488,0.0014456,0.0014456,0.0014456
16,5194.7,1.38845,1.26359,1.33489,0.67965,0.65699,0.70063,0.39175,1.45695,1.37328,1.37345,0.001406,0.001406,0.001406
17,5383.59,1.3782,1.2783,1.36092,0.66209,0.58839,0.64819,0.36407,1.41275,1.76481,1.33842,0.0013664,0.0013664,0.0013664
18,5571.6,1.3657,1.25003,1.31991,0.73139,0.57784,0.67628,0.38889,1.44768,1.40923,1.36699,0.0013268,0.0013268,0.0013268
19,5767,1.33213,1.21334,1.3117,0.68226,0.65172,0.71099,0.4238,1.40509,1.23678,1.3247,0.0012872,0.0012872,0.0012872
20,5962.08,1.32176,1.2087,1.29958,0.64484,0.69129,0.71486,0.41488,1.43235,1.24613,1.3549,0.0012476,0.0012476,0.0012476
21,6155.06,1.29437,1.14391,1.27886,0.70124,0.66265,0.73433,0.42797,1.41621,1.24514,1.3119,0.001208,0.001208,0.001208
22,6348.24,1.27886,1.11625,1.2785,0.73497,0.69512,0.7391,0.44236,1.37357,1.21147,1.3238,0.0011684,0.0011684,0.0011684
23,6545.07,1.31123,1.14656,1.29447,0.67134,0.63061,0.70194,0.42846,1.40643,1.3075,1.35146,0.0011288,0.0011288,0.0011288
24,6744.02,1.28358,1.14496,1.30341,0.77686,0.61741,0.73306,0.44167,1.39999,1.23644,1.32697,0.0010892,0.0010892,0.0010892
25,6936.82,1.28058,1.15226,1.28251,0.68219,0.69129,0.70812,0.41534,1.3734,1.25613,1.29871,0.0010496,0.0010496,0.0010496
26,7129.48,1.26421,1.09235,1.27949,0.73196,0.68074,0.74983,0.44791,1.36107,1.16714,1.31957,0.00101,0.00101,0.00101
27,7318.12,1.24838,1.06098,1.27826,0.78342,0.68716,0.74956,0.46228,1.32642,1.20995,1.31244,0.0009704,0.0009704,0.0009704
28,7507.58,1.20964,1.03077,1.23312,0.74244,0.69975,0.75045,0.45093,1.37474,1.13061,1.31529,0.0009308,0.0009308,0.0009308
29,7703.68,1.20889,1.03246,1.23338,0.79225,0.66411,0.76069,0.46164,1.32722,1.14694,1.28912,0.0008912,0.0008912,0.0008912
30,7892.93,1.18848,1.01959,1.2228,0.73864,0.65435,0.73222,0.47105,1.3097,1.13763,1.29055,0.0008516,0.0008516,0.0008516
31,8083.13,1.2191,1.01237,1.25453,0.73967,0.70712,0.75471,0.47127,1.3205,1.14368,1.30047,0.000812,0.000812,0.000812
32,8273,1.22065,1.00012,1.2278,0.78016,0.65699,0.76258,0.47049,1.32205,1.11872,1.26892,0.0007724,0.0007724,0.0007724
33,8461.96,1.16746,0.97832,1.21007,0.7684,0.6828,0.77815,0.49615,1.30498,1.07377,1.29191,0.0007328,0.0007328,0.0007328
34,8671.44,1.16191,0.96465,1.21346,0.79537,0.66661,0.77732,0.47786,1.34054,1.07106,1.30924,0.0006932,0.0006932,0.0006932
35,8865.25,1.13541,0.92019,1.213,0.75142,0.66998,0.76378,0.46553,1.35412,1.085,1.313,0.0006536,0.0006536,0.0006536
36,9060.92,1.13004,0.9177,1.20342,0.71535,0.72296,0.77709,0.48329,1.34158,1.06752,1.31781,0.000614,0.000614,0.000614
37,9254.75,1.11179,0.90676,1.19138,0.74089,0.71504,0.7786,0.4892,1.33448,1.10171,1.31015,0.0005744,0.0005744,0.0005744
38,9448.31,1.10162,0.88064,1.1777,0.73213,0.70712,0.76784,0.48725,1.31195,1.05997,1.2901,0.0005348,0.0005348,0.0005348
39,9643.93,1.0967,0.89144,1.16911,0.77677,0.69777,0.78773,0.5036,1.28816,1.04024,1.27804,0.0004952,0.0004952,0.0004952
40,9846.49,1.0956,0.88232,1.18099,0.75253,0.70606,0.77808,0.492,1.3033,1.04674,1.28409,0.0004556,0.0004556,0.0004556
41,10041.8,1.02239,0.83954,1.13937,0.75743,0.67282,0.76587,0.48986,1.2972,1.05958,1.28542,0.000416,0.000416,0.000416
42,10243.3,1.00817,0.78106,1.12547,0.72677,0.71586,0.76509,0.48481,1.31215,1.07613,1.28277,0.0003764,0.0003764,0.0003764
43,10441.2,0.97788,0.75423,1.11276,0.74244,0.70449,0.77078,0.49384,1.29126,1.07178,1.26457,0.0003368,0.0003368,0.0003368
44,10632.6,0.94884,0.74477,1.08746,0.74222,0.72032,0.77483,0.49821,1.29295,1.04126,1.2733,0.0002972,0.0002972,0.0002972
45,10828.4,0.95818,0.71789,1.0961,0.80473,0.69593,0.80367,0.50706,1.2744,1.03399,1.25302,0.0002576,0.0002576,0.0002576
46,11022.2,0.93538,0.69318,1.07977,0.759,0.71462,0.78749,0.50079,1.27537,1.04062,1.2623,0.000218,0.000218,0.000218
47,11214.2,0.92569,0.67391,1.0644,0.76106,0.72559,0.78966,0.49954,1.26638,1.03108,1.26526,0.0001784,0.0001784,0.0001784
48,11406.4,0.91065,0.67294,1.06618,0.73683,0.72032,0.7854,0.4996,1.26048,1.04451,1.26312,0.0001388,0.0001388,0.0001388
49,11597,0.91042,0.67829,1.07353,0.74867,0.70738,0.7881,0.50297,1.26552,1.0339,1.26571,9.92e-05,9.92e-05,9.92e-05
50,11790.6,0.90486,0.655,1.0618,0.76561,0.72296,0.79313,0.50444,1.26898,1.01814,1.26958,5.96e-05,5.96e-05,5.96e-05
